R,G,B,EX,LI,BF3,RF3,GF2
134.95,21.43,3.76,5000,R100,0.15,0.6,0.083333333
55.4,8.29,1.34,5000,R100,0.033333333,0.2,0.133333333
35.65,5.02,0.51,5000,R100,0.083333333,0.466666667,0.166666667
175.47,28.37,4.73,5000,R100,0.016666667,0.4,0.066666667
113.69,17.71,3.05,5000,R100,0.066666667,0.066666667,0.1
46.36,6.87,0.79,5000,R100,0.15,0.333333333,0.15
239.82,38.55,6.75,5000,R100,0.133333333,0.133333333,0.05
135.89,21.73,3.73,5000,R100,0.166666667,0.533333333,0.083333333
255,68.2,12.27,5000,R100,0.1,0.266666667,0.016666667
77.79,12.03,1.82,5000,R100,0.116666667,0.666666667,0.116666667
255,51.1,8.67,5000,R100,0.05,0.6,0.033333333
255,74.73,13.35,5000,R100,0.0143,0.05,0.0123
255,61.57,10.78,5000,R100,0.0286,0.1,0.0246
255,49.76,8.52,5000,R100,0.0429,0.15,0.0369
250.09,40.61,6.94,5000,R100,0.0572,0.2,0.0492
209.98,33.95,5.78,5000,R100,0.0715,0.25,0.0615
170.81,27.11,4.6,5000,R100,0.0858,0.3,0.0738
129.76,20.86,3.34,5000,R100,0.1001,0.35,0.0861
111.29,17.43,2.92,5000,R100,0.1144,0.4,0.0984
92.19,14.4,2.18,5000,R100,0.1287,0.45,0.1107
74.86,11.49,1.6,5000,R100,0.143,0.5,0.123
172.49,26.67,4.96,10000,R100,0.166666667,0.266666667,0.116666667
204.98,32.23,6.01,10000,R100,0.016666667,0.466666667,0.1
255,50.72,9.65,10000,R100,0.1,0.666666667,0.066666667
107.36,16.11,2.83,10000,R100,0.05,0.6,0.133333333
254.33,40.64,7.68,10000,R100,0.116666667,0.066666667,0.083333333
255,74.72,14.1,10000,R100,0.033333333,0.2,0.05
255,130.29,24.84,10000,R100,0.066666667,0.333333333,0.016666667
94.63,14.07,2.33,10000,R100,0.083333333,0.133333333,0.15
76.98,11.31,1.83,10000,R100,0.133333333,0.4,0.166666667
255,97.13,18.52,10000,R100,0.15,0.533333333,0.033333333
180.52,28.01,4.99,10000,R100,0.016666667,0.333333333,0.116666667
255,43.38,7.86,10000,R100,0.033333333,0.6,0.083333333
111.34,17.19,3,10000,R100,0.1,0.666666667,0.133333333
255,55.71,10.13,10000,R100,0.166666667,0.4,0.066666667
255,77.57,14.13,10000,R100,0.05,0.133333333,0.05
255,94.39,17.26,10000,R100,0.133333333,0.533333333,0.033333333
71.93,10.84,1.53,10000,R100,0.066666667,0.466666667,0.166666667
255,131.36,23.42,10000,R100,0.083333333,0.266666667,0.016666667
255,42.65,7.72,10000,R100,0.116666667,0.066666667,0.1
97.93,14.58,2.22,10000,R100,0.15,0.2,0.15
170.71,27.03,4.92,10000,R100,0.1,0.066666667,0.116666667
127.03,19.79,3.43,10000,R100,0.016666667,0.4,0.133333333
69.79,10.35,1.85,10000,R100,0.066666667,0.266666667,0.166666667
255,46.87,8.47,10000,R100,0.033333333,0.133333333,0.083333333
91.14,13.74,2.1,10000,R100,0.133333333,0.6,0.15
