R,G,B,EX,LI,3BF,3RF,2GF
4.17,18.22,52.34,40000,B100,0.116666667,0.333333333,0.016666667
6.37,27.95,77.63,40000,B100,0.166666667,0.466666667,0.1
25.95,86.2,255,40000,B100,0.15,0.2,0.05
157.72,255,255,40000,B100,0.083333333,0.066666667,0.066666667
53.87,170.47,255,40000,B100,0.133333333,0.133333333,0.133333333
24.09,99.44,255,40000,B100,0.116666667,0.4,0.016666667
27.38,135.85,255,40000,B100,0.016666667,0.466666667,0.083333333
22.46,77.88,254.89,40000,B100,0.166666667,0.266666667,0.1
113.56,255,255,40000,B100,0.05,0.2,0.033333333
32.53,142.49,255,40000,B100,0.033333333,0.333333333,0.15
5.42,27.6,65.93,40000,B100,0.1,0.533333333,0.166666667
5.85,26.14,61.2,40000,B100,0.15,0.6,0.05
4.09,23.49,44.7,40000,B100,0.066666667,0.666666667,0.116666667
135.42,255,255,40000,B100,0.1,0.066666667,0.066666667
67.03,255,255,40000,B100,0.016666667,0.266666667,0.1
3.75,20.19,39.96,40000,B100,0.083333333,0.666666667,0.133333333
19.23,99.61,198.89,40000,B100,0.033333333,0.533333333,0.05
37.83,159.82,255,40000,B100,0.066666667,0.4,0.016666667
57.66,193.41,255,40000,B100,0.133333333,0.2,0.033333333
5.4,26.35,67.43,40000,B100,0.116666667,0.466666667,0.166666667
80.23,255,255,40000,B100,0.05,0.133333333,0.15
13.75,49.64,157.4,40000,B100,0.166666667,0.333333333,0.116666667
3.5,18.05,43.33,40000,B100,0.15,0.6,0.083333333
62.37,238.38,255,40000,B100,0.033333333,0.2,0.133333333
8.53,39.78,97.56,40000,B100,0.083333333,0.466666667,0.166666667
40.24,185.92,255,40000,B100,0.016666667,0.4,0.066666667
144.78,255,255,40000,B100,0.066666667,0.066666667,0.1
13.49,50.46,158.92,40000,B100,0.15,0.333333333,0.15
79.16,246.66,255,40000,B100,0.133333333,0.133333333,0.05
5.1,23.4,59.93,40000,B100,0.166666667,0.533333333,0.083333333
58.55,215.3,255,40000,B100,0.1,0.266666667,0.016666667
2.35,14.32,28.39,40000,B100,0.116666667,0.666666667,0.116666667
13.13,64.78,121,40000,B100,0.05,0.6,0.033333333
52.83,178.44,255,80000,B100,0.166666667,0.266666667,0.116666667
49.21,230.07,255,80000,B100,0.016666667,0.466666667,0.1
8.57,43.89,79.23,80000,B100,0.1,0.666666667,0.066666667
9.54,53.93,96.96,80000,B100,0.05,0.6,0.133333333
214.79,255,255,80000,B100,0.116666667,0.066666667,0.083333333
